SNO,Protein A,Protein B,UniProtID A,UniProtID B,PDB ID A,PDB ID B
953,TOMM40,VDAC1,O96008,Q9MZ16,"7CK6, 7CP9, 7VBY, 7VC4, 7VD2, 7VDD, 8XVA",No 3D Structure
954,HDAC4,HSP90AB1,Q6NZM9,P08238,No 3D Structure,"1QZ2, 1UYM, 2L6J, 3FWV, 3NMQ, 3PRY, 3UQ3, 5FWK, 5FWL, 5FWM, 5FWP, 5UC4, 5UCH, 5UCI, 5UCJ, 6N8W, 6N8Y, 7ULJ, 7Z37, 7Z38, 7ZR0, 7ZR5, 7ZR6, 7ZUB, 8EOA, 8EOB, 8GAE, 8GFT, 8QMO"
955,APOA2,PLTP,P09813,P55058,"8OQ4, 8OQ5",No 3D Structure
956,PMPCB,NDUFS1,O75439,P28331,No 3D Structure,"5XTB, 5XTD, 5XTH, 5XTI"
957,APP,MAPK8IP1,A2VEY9,Q9UQF2,No 3D Structure,"2G01, 2GMX, 2H96, 3OXI, 3PTG, 3VUD, 3VUG, 3VUH, 3VUI, 3VUK, 3VUL, 3VUM, 4E73, 4G1W, 4H39, 4HYS, 4HYU, 4IZY, 5LW1, 6FUZ, 7NYK, 7NYL, 7NYM, 7NYN, 7NYO, 7NZB, 8RPP"
958,HSPA4,SOD1,O88600,P15107,No 3D Structure,1XSO
959,TAF1,TP53,Q80UV9,Q12888,No 3D Structure,"1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U"
960,GBA,SNCA,Q70KH2,Q3T0G8,No 3D Structure,No 3D Structure
961,PINK1,VDAC1,B5DFG1,Q9MZ16,No 3D Structure,No 3D Structure
962,HPR,HP,Q9C9W5,Q9SCK3,No 3D Structure,"8UCY, 8UCZ, 8UD0"
963,HNRNPA1,SRSF7,P09651,Q8BL97,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL",No 3D Structure
964,DHX9,HNRNPA1,Q5R874,P09651,No 3D Structure,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL"
965,CUL7,MRPL13,D3ZEF4,Q9BYD1,No 3D Structure,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3"
966,TOMM20,VDAC1,Q15388,Q9MZ16,"4APO, 7VBY, 7VC9, 8XVA",No 3D Structure
967,TARDBP,VCP,Q13148,P42660,"1WF0, 2CQG, 2N2C, 2N3X, 2N4G, 2N4H, 2N4P, 4BS2, 4IUF, 4Y00, 4Y0F, 5MDI, 5MRG, 5W50, 5W52, 5W7V, 5WHN, 5WHP, 5WIA, 5WIQ, 5WKB, 5WKD, 5X4F, 6B1G, 6CF4, 6CFH, 6N37, 6N3A, 6N3B, 6N3C, 6T4B, 7KWZ, 7N9H, 7PY2, 7Q3U, 8A6I, 8CG3, 8CGG, 8CGH, 8QX9, 8QXA, 8QXB, 9FOF, 9FOR",No 3D Structure
968,NDUFAB1,NFS1,O14561,Q9Z1J3,"2DNW, 5OOL, 5OOM, 5XTB, 5XTC, 5XTD, 5XTH, 5XTI, 6ODD, 7A5H, 7A5J, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF5, 7OF7, 7OI6, 7OI7, 7OI8, 7OI9, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 8K2B, 8PK0, 8QSJ, 8QU5",No 3D Structure
969,OSBPL9,VAPB,Q96SU4,O95292,No 3D Structure,"2MDK, 3IKK"
970,HNRNPC,HNRNPA0,P07910,Q13151,"1TXP, 1WF2, 2MXY, 2MZ1, 3LN4",No 3D Structure
971,HNRNPA3,PTBP1,P51991,P26599,No 3D Structure,"1QM9, 1SJQ, 1SJR, 2AD9, 2ADB, 2ADC, 2EVZ, 2N3O, 3ZZY, 3ZZZ, 8BGF, 8BWF"
972,SRSF9,U2AF2,Q13242,P26368,No 3D Structure,"1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU"
973,TAX1BP1,AZI2,Q3UKC1,Q9H6S1,No 3D Structure,"5EP6, 5Z7G, 5Z7L, 7EA2, 7EA7"
974,HNRNPK,SRSF1,P61979,Q6PDM2,No 3D Structure,1X4C
975,PCBP1,HNRNPA1,P60335,P09651,No 3D Structure,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL"
976,CUL7,RPS9,D3ZEF4,P46781,No 3D Structure,"4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5OA3, 5T2C, 5VYC, 6FEC, 6G18, 6G4S, 6G4W, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6YBW, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOK, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7K5I, 7MQ8, 7MQ9, 7MQA, 7QP6, 7QP7, 7R4X, 7TQL, 7WTS, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNX, 7XNY, 8G5Y, 8G5Z, 8G60, 8G61, 8G6J, 8GLP, 8IFD, 8IFE, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8Y0W, 8Y0X, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O"
977,PMPCA,NDUFV1,Q10713,Q91YT0,No 3D Structure,"6G2J, 6G72, 6ZR2, 6ZTQ, 7AK5, 7AK6, 7B93, 7PSA, 8C2S, 8CA3, 8CA4, 8CA5, 8IAO, 8IAP, 8IB4, 8IB5, 8IB9, 8IBA, 8IBD, 8IBE, 8IC2, 8IC3, 8OLT, 8OM1, 8PW5, 8PW6, 8PW7, 8RGP, 8RGQ, 8RGR, 8RGT, 8UCA, 8XNL, 8XNM, 8XNN, 8XNO, 8XNP, 8XNQ, 8XNR, 8XNS, 8XNT, 8XNU, 8XNV, 8XNW, 8XNX, 8XNY, 8XNZ, 8XO0"
978,EWSR1,SNRPC,Q61545,P09234,No 3D Structure,"2VRD, 3CW1, 4PJO, 6ELD, 6QX9, 7VPX"
979,CDC25C,SFN,P30307,O70456,"2OJX, 3BZI, 3OP3, 5M35, 5M36, 5M37",No 3D Structure
980,PMPCB,NDUFV1,O75439,Q91YT0,No 3D Structure,"6G2J, 6G72, 6ZR2, 6ZTQ, 7AK5, 7AK6, 7B93, 7PSA, 8C2S, 8CA3, 8CA4, 8CA5, 8IAO, 8IAP, 8IB4, 8IB5, 8IB9, 8IBA, 8IBD, 8IBE, 8IC2, 8IC3, 8OLT, 8OM1, 8PW5, 8PW6, 8PW7, 8RGP, 8RGQ, 8RGR, 8RGT, 8UCA, 8XNL, 8XNM, 8XNN, 8XNO, 8XNP, 8XNQ, 8XNR, 8XNS, 8XNT, 8XNU, 8XNV, 8XNW, 8XNX, 8XNY, 8XNZ, 8XO0"
981,TNF,NFKBIA,Q7TS55,Q9Z1E3,"2Q8O, 2QDN, 3B9I, 3FC0, 7E57, 7KHX",No 3D Structure
982,CIAPIN1,NUBP1,Q6FI81,Q9R060,"2LD4, 2YUI, 4M7R",No 3D Structure
983,OSBP,VAPB,Q3B7Z2,O95292,No 3D Structure,"2MDK, 3IKK"
984,HNRNPC,TRA2B,P07910,Q3ZBT6,"1TXP, 1WF2, 2MXY, 2MZ1, 3LN4",No 3D Structure
985,HNRNPM,SFPQ,P52272,Q8VIJ6,"2DGV, 2DH9, 2DO0, 2OT8",No 3D Structure
986,HNRNPA2B1,HNRNPH3,P22626,P31942,"1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI",No 3D Structure
987,HNRNPA2B1,HNRNPA3,P22626,P51991,"1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI",No 3D Structure
988,HSP90AA1,HSPA5,A5A6K9,Q80WF4,No 3D Structure,No 3D Structure
989,ENO1,TALDO1,Q9C9C4,Q93092,No 3D Structure,"2CWN, 2E1D"
990,SRSF3,SRSF9,P84103,Q13242,"2I2Y, 2I38, 9ASQ",No 3D Structure
991,APOE,PLTP,P0DKW7,P55058,No 3D Structure,No 3D Structure
992,SOD2,ACO2,P04179,Q94A28,"1AP5, 1AP6, 1EM1, 1JA8, 1LUV, 1LUW, 1MSD, 1N0J, 1N0N, 1PL4, 1PM9, 1QNM, 1SZX, 1VAR, 1XDC, 1XIL, 1ZSP, 1ZTE, 1ZUQ, 2ADP, 2ADQ, 2GDS, 2P4K, 2QKA, 2QKC, 3C3S, 3C3T, 5GXO, 5T30, 5VF9, 7KKS, 7KKU, 7KKW, 7KLB, 8SKS, 8VHW, 8VHY, 8VJ0, 8VJ4, 8VJ5, 8VJ8",No 3D Structure
993,MAP1LC3B,MAP1A,Q9GZQ8,P78559,"1V49, 2LUE, 2N9X, 2ZJD, 3VTU, 3VTV, 3VTW, 3WAO, 3X0W, 4WAA, 5D94, 5DCN, 5GMV, 5MS2, 5MS5, 5MS6, 5V4K, 5W9A, 5XAC, 5XAD, 5XAE, 6J04, 6LAN, 7ELG, 7GA8, 7GA9, 7GAA, 7GAB, 7GAC, 7GAD, 7GAE, 7GAF, 7GAG, 7GAH, 7GAI, 7GAJ, 7GAK, 7GAL, 7GAM, 7GAN, 7GAO, 7GAP, 7GAQ, 7GAR, 7GAS, 7GAU, 8Q53, 8Q7K, 8YV6",No 3D Structure
994,HNRNPH1,ILF2,P31943,Q12905,"2LXU, 6DHS, 7ZUG",No 3D Structure
995,HNRNPC,HNRNPA3,P07910,P51991,"1TXP, 1WF2, 2MXY, 2MZ1, 3LN4",No 3D Structure
996,PSMA1,RPS27A,Q9V2V6,P62979,No 3D Structure,"2KTF, 2L0F, 2L0T, 2XK5, 3AXC, 3NHE, 3NOB, 3PHW, 3TBL, 4R62, 4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5T2C, 5WVO, 5YDK, 6DC6, 6FEC, 6G18, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6J99, 6KFP, 6KG6, 6KIU, 6KIV, 6KIW, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6SQO, 6SQR, 6SQS, 6XA1, 6Y0G, 6Y57, 6YBS, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOL, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7BWD, 7F0N, 7JQB, 7JQC, 7K5I, 7MQ9, 7MQA, 7OOJ, 7QP6, 7QP7, 7R4X, 7TQL, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNY, 8G5Y, 8G60, 8G61, 8G6J, 8GLP, 8HTC, 8HTF, 8IFD, 8IFE, 8IVB, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8X7I, 8X7J, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O, 9IPU"
997,STAT1,STAT5A,Q764M5,P42229,No 3D Structure,"7TVA, 7TVB, 7UBT, 7UC6, 7UC7"
998,IL2RG,IL21,P40321,Q9HBE4,No 3D Structure,"2OQP, 3TGX, 8ENT"
999,ATXN1,ATXN2,P54253,O70305,"1OA8, 2M41, 4APT, 4AQP, 4J2J, 4J2L, 6QIU",No 3D Structure
1000,BCL2,MAPK1,Q9JJV8,O94737,No 3D Structure,No 3D Structure
1001,APP,PSEN2,A2VEY9,P49810,No 3D Structure,"7Y5X, 7Y5Z"
1002,SYNJ1,SH3GL1,O43426,Q99961,"1W80, 2DNR, 2VJ0, 7A0V, 7A17",No 3D Structure
1003,YWHAQ,FOXO3,P68254,Q9WVH4,No 3D Structure,No 3D Structure
1004,FOXO3,YWHAB,Q9WVH4,P31946,No 3D Structure,"2BQ0, 2C23, 4DNK, 5N10, 6A5Q, 6BYK, 6GN0, 6GN8, 6GNJ, 6GNK, 6GNN, 6HEP, 6YGJ, 8DP5, 8EQ8, 8EQH"
1005,HNRNPA1,SFPQ,P09651,Q8VIJ6,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL",No 3D Structure
1006,HNRNPL,HNRNPA3,Q8R081,P51991,"3S01, 3TYT",No 3D Structure
1007,BCL2L1,PARK7,Q07817,Q5XJ36,"1BXL, 1G5J, 1LXL, 1MAZ, 1R2D, 1R2E, 1R2G, 1R2H, 1R2I, 1YSG, 1YSI, 1YSN, 2B48, 2LP8, 2LPC, 2M03, 2M04, 2ME8, 2ME9, 2MEJ, 2O1Y, 2O2M, 2O2N, 2P1L, 2PON, 2YJ1, 2YQ6, 2YQ7, 2YXJ, 3CVA, 3FDL, 3FDM, 3INQ, 3IO8, 3PL7, 3QKD, 3R85, 3SP7, 3SPF, 3WIZ, 3ZK6, 3ZLN, 3ZLO, 3ZLR, 4A1U, 4A1W, 4AQ3, 4BPK, 4C52, 4C5D, 4CIN, 4EHR, 4HNJ, 4IEH, 4PPI, 4QVE, 4QVF, 4QVX, 4TUH, 4Z9V, 5AGW, 5AGX, 5B1Z, 5C3G, 5FMJ, 5FMK, 5VAY, 5VX3, 6BF2, 6DCN, 6DCO, 6F46, 6GL8, 6HJL, 6IJQ, 6LHD, 6O0K, 6O0L, 6O0M, 6O0O, 6O0P, 6QG8, 6QGG, 6QGH, 6QGJ, 6QGK, 6RNU, 6ST2, 6UVC, 6UVD, 6UVE, 6UVF, 6UVG, 6UVH, 6VWC, 6X7I, 6YLI, 6ZHC, 7CA4, 7JGV, 7JGW, 7LH7, 7XGF, 7XGG, 7Y8D, 7YAA, 7YB7, 8FY0, 8IQK, 8IQL, 8U27, 8VWX, 8VWZ, 8VXM, 8VXN, 8WLS, 8XP5, 8ZEB, 9AQZ",No 3D Structure
1008,HSP90AA1,LRRK2,A5A6K9,Q5S007,No 3D Structure,"2ZEJ, 3D6T, 5MY9, 5MYC, 6DLO, 6DLP, 6OJE, 6OJF, 6VNO, 6VP6, 6VP7, 6VP8, 6XAF, 6XR4, 7LHT, 7LHW, 7LI3, 7LI4, 7THY, 7THZ, 8FO2, 8FO7, 8FO8, 8FO9, 8SMC, 8TXZ, 8TYQ, 8TZB, 8TZC, 8TZE, 8TZF, 8TZG, 8TZH, 8U1B, 8U7H, 8U7L, 8U8A, 8U8B, 8VH4, 8VH5, 9C76, 9CHO"
1009,MAP1B,SQSTM1,P46821,Q64337,No 3D Structure,"2RRU, 2ZJD, 3ADE, 3B0F, 3WDZ"
1010,HNRNPF,HNRNPK,P52597,P61979,"2HGL, 2HGM, 2HGN, 2KFY, 2KG0, 2KG1, 3TFY",No 3D Structure
1011,TIMM50,TOMM40,Q3ZCQ8,O96008,No 3D Structure,"7CK6, 7CP9, 7VBY, 7VC4, 7VD2, 7VDD, 8XVA"
1012,CP,LTF,P15057,P08071,"1H09, 1OBA, 2IXU, 2IXV, 2J8F, 2J8G",No 3D Structure
1013,NDUFAF2,NDUFB8,Q8N183,O95169,No 3D Structure,"5XTC, 5XTD, 5XTH, 5XTI"
1014,GLRX5,ISCA2,Q86SX6,Q86U28,"2MMZ, 2WUL",No 3D Structure
1015,MAP1LC3B,MAP1B,Q9GZQ8,P46821,"1V49, 2LUE, 2N9X, 2ZJD, 3VTU, 3VTV, 3VTW, 3WAO, 3X0W, 4WAA, 5D94, 5DCN, 5GMV, 5MS2, 5MS5, 5MS6, 5V4K, 5W9A, 5XAC, 5XAD, 5XAE, 6J04, 6LAN, 7ELG, 7GA8, 7GA9, 7GAA, 7GAB, 7GAC, 7GAD, 7GAE, 7GAF, 7GAG, 7GAH, 7GAI, 7GAJ, 7GAK, 7GAL, 7GAM, 7GAN, 7GAO, 7GAP, 7GAQ, 7GAR, 7GAS, 7GAU, 8Q53, 8Q7K, 8YV6",No 3D Structure
1016,HNRNPM,ILF2,P52272,Q12905,"2DGV, 2DH9, 2DO0, 2OT8",No 3D Structure
1017,IDH3A,SUCLA2,Q9D6R2,Q9P2R7,No 3D Structure,6G4Q
1018,SVIP,NPLOC4,Q8NHG7,Q8TAT6,No 3D Structure,"7WWP, 7WWQ"
1019,PMPCB,NDUFS8,O75439,O00217,No 3D Structure,"5XTB, 5XTD, 5XTH, 5XTI"
1020,OSBPL9,VAPA,Q96SU4,Q9P0L0,No 3D Structure,"2RR3, 6TQR"
1021,APOA1,PLTP,P0DMA9,P55058,No 3D Structure,No 3D Structure
1022,YAP1,YWHAG,A0A8C0NGY6,P61982,No 3D Structure,8XI3
1023,DHX9,HNRNPM,Q5R874,P52272,No 3D Structure,"2DGV, 2DH9, 2DO0, 2OT8"
1024,HNRNPL,HNRNPU,Q8R081,Q8VEK3,"3S01, 3TYT",No 3D Structure
1025,NDUFV3,NDUFAF2,P56181,Q8N183,"5XTB, 5XTD, 5XTH, 5XTI",No 3D Structure
1026,MATR3,SFPQ,P43243,Q8VIJ6,No 3D Structure,No 3D Structure
1027,ALB,FGA,Q28522,P02671,No 3D Structure,"1BBR, 1DM4, 1FPH, 1FZA, 1FZB, 1FZC, 1FZD, 1FZE, 1FZF, 1FZG, 1LT9, 1LTJ, 1N86, 1N8E, 1RE3, 1RE4, 1RF0, 1RF1, 1YCP, 2A45, 2FFD, 2H43, 2HLO, 2HOD, 2HPC, 2OYH, 2OYI, 2Q9I, 2XNX, 2XNY, 2Z4E, 3AT0, 3BVH, 3E1I, 3GHG, 3H32, 3HUS, 4F27, 5CFA"
1028,SAA1,SAA2,P0DJI8,P0DJI9,"4IP8, 4IP9, 6MST, 7ZKY",No 3D Structure
1029,HNRNPH1,HNRNPK,P31943,P61979,"2LXU, 6DHS, 7ZUG",No 3D Structure
1030,PTBP1,SFPQ,P26599,Q8VIJ6,"1QM9, 1SJQ, 1SJR, 2AD9, 2ADB, 2ADC, 2EVZ, 2N3O, 3ZZY, 3ZZZ, 8BGF, 8BWF",No 3D Structure
1031,GRPEL1,HSPA4,Q9HAV7,O88600,"9BLS, 9BLT, 9BLU",No 3D Structure
1032,FUS,HNRNPA1,P56959,P09651,No 3D Structure,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL"
1033,A2M,APOE,Q61838,P0DKW7,No 3D Structure,No 3D Structure
